date,revenue
2021-07-23,72614.12
2021-07-24,66307.86
2021-07-25,83778.61
2021-07-26,70182.23
2021-07-27,112356.70
2021-07-28,57828.28
2021-07-29,135476.66
2021-07-30,91067.82
2021-07-31,89763.49
2021-08-01,72520.42
2021-08-02,124776.88
2021-08-03,89523.34
2021-08-04,258911.69
2021-08-05,132174.00
2021-08-06,120674.69
2021-08-07,164154.99
2021-08-08,139775.48
2021-08-09,106649.52
2021-08-10,122245.17
2021-08-11,166443.73
2021-08-12,168149.57
2021-08-13,144592.10
2021-08-14,119177.98
2021-08-15,91724.76
2021-08-16,72984.36
2021-08-17,158657.00
2021-08-18,117388.96
2021-08-19,245693.62
2021-08-20,109512.99
2021-08-21,144602.69
2021-08-22,143669.18
2021-08-23,83155.38
2021-08-24,111026.90
2021-08-25,233546.16
2021-08-26,97296.24
2021-08-27,93388.26
2021-08-28,98216.91
2021-08-29,63102.06
2021-08-30,66640.59
2021-08-31,103816.05
2021-09-01,115463.73
2021-09-02,108075.33
2021-09-03,141225.76
2021-09-04,93000.86
2021-09-05,63458.38
2021-09-06,81094.51
2021-09-07,90379.38
2021-09-08,223095.74
2021-09-09,163630.05
2021-09-10,177068.18
2021-09-11,157955.91
2021-09-12,159876.48
2021-09-13,146122.17
2021-09-14,104249.66
2021-09-15,119164.94
2021-09-16,196077.99
2021-09-17,174121.19
2021-09-18,102509.88
2021-09-19,67694.18
2021-09-20,94601.85
2021-09-21,218610.71
2021-09-22,214393.51
2021-09-23,127774.56
2021-09-24,177777.92
2021-09-25,234188.66
2021-09-26,128484.42
2021-09-27,139428.33
2021-09-28,155821.79
2021-09-29,141809.85
2021-09-30,104276.04
2021-10-01,153610.07
2021-10-02,174692.41
2021-10-03,106706.27
2021-10-04,140626.08
2021-10-05,134911.48
2021-10-06,171083.33
2021-10-07,234860.81
2021-10-08,227240.67
2021-10-09,238790.24
2021-10-10,169627.92
2021-10-11,213347.49
2021-10-12,159097.96
2021-10-13,193763.71
2021-10-14,190019.53
2021-10-15,276716.14
2021-10-16,258920.90
2021-10-17,185553.73
2021-10-18,120785.81
2021-10-19,179897.52
2021-10-20,172197.08
2021-10-21,286392.08
2021-10-22,223826.18
2021-10-23,227946.24
2021-10-24,155560.49
2021-10-25,141154.11
2021-10-26,201793.63
2021-10-27,215509.81
2021-10-28,345092.96
2021-10-29,330325.44
2021-10-30,406550.59
2021-10-31,209001.12
2021-11-01,185844.21
2021-11-02,153624.94
2021-11-03,213371.11
2021-11-04,164467.45
2021-11-05,218307.58
2021-11-06,222225.66
2021-11-07,147694.41
2021-11-08,203951.88
2021-11-09,257706.83
2021-11-10,205419.85
2021-11-11,325909.64
2021-11-12,302328.84
2021-11-13,201387.39
2021-11-14,236079.72
2021-11-15,133903.98
2021-11-16,176146.12
2021-11-17,300622.79
2021-11-18,318418.96
2021-11-19,278200.93
2021-11-20,246826.93
2021-11-21,161451.98
2021-11-22,162941.76
2021-11-23,269498.40
2021-11-24,170374.55
2021-11-25,258764.73
2021-11-26,342536.96
2021-11-27,295221.17
2021-11-28,140189.69
2021-11-29,200071.84
2021-11-30,211565.18
2021-12-01,350624.91
2021-12-02,350531.40
2021-12-03,375204.59
2021-12-04,384363.28
2021-12-05,650526.77
2021-12-06,316758.83
2021-12-07,401483.08
2021-12-08,214135.84
2021-12-09,243085.24
2021-12-10,349697.87
2021-12-11,297323.66
2021-12-12,200647.49
2021-12-13,155172.45
2021-12-14,262421.47
2021-12-15,224060.10
2021-12-16,330393.56
2021-12-17,209315.96
2021-12-18,313396.03
2021-12-19,384245.76
2021-12-20,216123.95
2021-12-21,308834.68
2021-12-22,406436.23
2021-12-23,346585.19
2021-12-24,439504.02
2021-12-25,304229.10
2021-12-26,238839.65
2021-12-27,177129.00
2021-12-28,242626.92
2021-12-29,255215.25
2021-12-30,277694.18
2021-12-31,264640.38
2022-01-01,263723.01
2022-01-02,400799.32
2022-01-03,192182.26
2022-01-04,251877.77
2022-01-05,234796.51
2022-01-06,382702.55
2022-01-07,338996.93
2022-01-08,404190.90
2022-01-09,212059.81
2022-01-10,187284.56
2022-01-11,259495.01
2022-01-12,260914.81
2022-01-13,205090.76
2022-01-14,263832.26
2022-01-15,190495.28
2022-01-16,202825.96
2022-01-17,163972.51
2022-01-18,238543.50
2022-01-19,231697.85
2022-01-20,455617.88
2022-01-21,370134.80
2022-01-22,707150.37
2022-01-23,844845.91
2022-01-24,264030.48
2022-01-25,507507.68
2022-01-26,280028.74
2022-01-27,428676.66
2022-01-28,611755.17
2022-01-29,1146495.31
2022-01-30,468844.06
2022-01-31,227653.38
2022-02-01,229849.54
2022-02-02,236005.01
2022-02-03,235942.73
2022-02-04,250359.17
2022-02-05,263721.60
2022-02-06,194377.17
2022-02-07,160260.62
2022-02-08,254623.35
2022-02-09,224501.77
2022-02-10,216328.66
2022-02-11,200541.28
2022-02-12,211998.84
2022-02-13,132144.92
2022-02-14,123307.75
2022-02-15,202994.02
2022-02-16,157615.86
2022-02-17,233818.05
2022-02-18,246735.09
2022-02-19,165532.42
2022-02-20,116268.09
2022-02-21,120408.51
2022-02-22,180272.14
2022-02-23,210268.48
2022-02-24,249626.49
2022-02-25,419647.98
2022-02-26,356492.40
2022-02-27,177426.26
2022-02-28,213269.01
2022-03-01,256525.40
2022-03-02,290786.97
2022-03-03,370097.91
2022-03-04,199568.40
2022-03-05,201963.46
2022-03-06,199660.08
2022-03-07,226057.68
2022-03-08,242577.48
2022-03-09,189449.48
2022-03-10,211169.51
2022-03-11,162534.85
2022-03-12,212205.86
2022-03-13,177965.41
2022-03-14,174332.07
2022-03-15,159310.50
2022-03-16,156397.78
2022-03-17,202824.07
2022-03-18,205273.08
2022-03-19,244778.21
2022-03-20,121197.41
2022-03-21,105253.38
2022-03-22,134685.15
2022-03-23,150406.94
2022-03-24,174904.80
2022-03-25,283581.12
2022-03-26,332288.00
2022-03-27,188502.52
2022-03-28,210310.85
2022-03-29,239775.52
2022-03-30,184720.20
2022-03-31,241429.81
2022-04-01,297906.75
2022-04-02,248086.63
2022-04-03,253043.86
2022-04-04,172728.38
2022-04-05,226892.97
2022-04-06,197098.24
2022-04-07,240851.90
2022-04-08,227368.89
2022-04-09,232558.66
2022-04-10,140127.29
2022-04-11,133099.34
2022-04-12,391753.38
2022-04-13,215600.46
2022-04-14,193594.54
2022-04-15,168717.68
2022-04-16,207930.26
2022-04-17,103936.56
2022-04-18,297762.33
2022-04-19,175767.21
2022-04-20,180453.06
2022-04-21,225741.99
2022-04-22,229618.94
2022-04-23,310472.55
2022-04-24,132961.73
2022-04-25,122415.04
2022-04-26,193399.94
2022-04-27,182196.33
2022-04-28,188112.20
2022-04-29,182578.99
2022-04-30,140118.55
2022-05-01,231599.48
2022-05-02,157446.10
2022-05-03,176786.04
2022-05-04,134947.40
2022-05-05,199640.35
2022-05-06,219271.18
2022-05-07,186746.28
2022-05-08,535200.92
2022-05-09,799466.78
2022-05-10,1038619.77
2022-05-11,900640.97
2022-05-12,1785542.86
2022-05-13,1902148.61
2022-05-14,505397.40
2022-05-15,177968.49
2022-05-16,354545.75
2022-05-17,159317.25
2022-05-18,113714.73
2022-05-19,125453.37
2022-05-20,177279.89
2022-05-21,121590.50
2022-05-22,123554.05
2022-05-23,64272.35
2022-05-24,91211.93
2022-05-25,88624.82
2022-05-26,103496.10
2022-05-27,117225.37
2022-05-28,108996.50
2022-05-29,48925.34
2022-05-30,37587.91
2022-05-31,87003.83
2022-06-01,277337.56
2022-06-02,66754.59
2022-06-03,70594.61
2022-06-04,61852.95
2022-06-05,65774.79
2022-06-06,66000.44
2022-06-07,70402.45
2022-06-08,153969.64
2022-06-09,125015.84
2022-06-10,67954.50
2022-06-11,185657.26
2022-06-12,150326.27
2022-06-13,125871.75
2022-06-14,503520.87
2022-06-15,307871.11
2022-06-16,285795.53
2022-06-17,211475.65
2022-06-18,144152.45
2022-06-19,392467.09
