date,pool_transaction_volume
2022-02-12,71877814.69
2022-02-13,74182174.855
2022-02-14,67801551.33
2022-02-15,38221503.705
2022-02-16,72632541.005
2022-02-17,93679343.465
2022-02-18,87803509.395
2022-02-19,87443794.4
2022-02-20,79616135.745
2022-02-21,175045839.84
2022-02-22,166099330.605
2022-02-23,80151536.68
2022-02-24,214656541.075
2022-02-25,157310878.845
2022-02-26,115435699.155
2022-02-27,139522392.79
2022-02-28,149221222.06
2022-03-01,127578387.64
2022-03-02,184717061.565
2022-03-03,100886407.6
2022-03-04,72064862.735
2022-03-05,40513557.865
2022-03-06,122888088.92
2022-03-07,107798921.235
2022-03-08,137955363.135
2022-03-09,64011156.615
2022-03-10,87348619.205
2022-03-11,113259529.415
2022-03-12,65355876.775
2022-03-13,83998094.045
2022-03-14,83428586.16
2022-03-15,75171785.62
2022-03-16,156021335.51
2022-03-17,63832987.445
2022-03-18,93081062.19
2022-03-19,40637506.74
2022-03-20,71544526.705
2022-03-21,80272651.925
2022-03-22,64619695.95
2022-03-23,92856598.505
2022-03-24,69753048.565
2022-03-25,77954088.365
2022-03-26,62650147.02
2022-03-27,63774433.84
2022-03-28,46156445.205
2022-03-29,72518128.82
2022-03-30,110077305.28
2022-03-31,85389053.95
2022-04-01,61634480.125
2022-04-02,80021127.59
2022-04-03,58506839.295
2022-04-04,99682835.08
2022-04-05,47392961.77
2022-04-06,73138507.485
2022-04-07,105115642.705
2022-04-08,104228769.83
2022-04-09,86255131.195
2022-04-10,62143722.87
2022-04-11,74128991.36
2022-04-12,136017751.23
2022-04-13,81558067.61
2022-04-14,51069725.54
2022-04-15,68223637.05
2022-04-16,29207971.03
2022-04-17,64895774.24
2022-04-18,68583823.725
2022-04-19,28392746.42
2022-04-20,65839958.405
2022-04-21,67056671.525
2022-04-22,42892656.34
2022-04-23,20762150.505
2022-04-24,40849050.95
2022-04-25,96818298.075
2022-04-26,61504653.635
2022-04-27,138126998.39
2022-04-28,110103294.51
2022-04-29,87706900.705
2022-04-30,117879678.965
2022-05-01,100883630.305
2022-05-02,140055976.58
2022-05-03,92773093.685
2022-05-04,63283917.025
2022-05-05,53831656.07
2022-05-06,154240784.605
2022-05-07,79741307.57
2022-05-08,502767959.615
2022-05-09,472998433.51
2022-05-10,263577725.235
2022-05-11,422164710.74
2022-05-12,386884085.995
2022-05-13,100562585.89
2022-05-14,88067325.005
2022-05-15,58991307.385
2022-05-16,120001288.065
2022-05-17,50970463.485
2022-05-18,43400975.91
2022-05-19,113533811.305
2022-05-20,76624459.92
2022-05-21,71795561.595
2022-05-22,37393544.93
2022-05-23,73483853.94
2022-05-24,42590191.195
2022-05-25,111392579.78
2022-05-26,119244011.82
2022-05-27,133346338.945
2022-05-28,78598783.405
2022-05-29,30895592.295
2022-05-30,43961281.9
2022-05-31,52322157.39
2022-06-01,51229442.9
2022-06-02,77938925.38
2022-06-03,47260352.71
2022-06-04,41993320.545
2022-06-05,41918418.8
2022-06-06,40358592.115
2022-06-07,96745723.555
2022-06-08,126578161.25
2022-06-09,59308237.955
2022-06-10,75905995.505
2022-06-11,78140071.2
2022-06-12,113638455.91
2022-06-13,353205175.925
2022-06-14,276320893.955
2022-06-15,252706549.47
2022-06-16,201331314.31
2022-06-17,166087634.03
2022-06-18,239875159.645
2022-06-19,214916027.015
2022-06-20,185353335.525
2022-06-21,156061934.425
2022-06-22,147019355.63
2022-06-23,105814307.255
2022-06-24,103114710.205
2022-06-25,91262566.065
2022-06-26,81935734.49
2022-06-27,77172709.595
2022-06-28,84507153.98
2022-06-29,115552514.845
2022-06-30,105978690.25
2022-07-01,122838604.29
2022-07-02,65721727.58
2022-07-03,58421550.425
2022-07-04,76680543.635
2022-07-05,90052908.675
2022-07-06,110988789.335
2022-07-07,80471650.145
2022-07-08,109138736.05
2022-07-09,62358106.43
2022-07-10,58627475.9
2022-07-11,69725515.455
2022-07-12,86340809.935
2022-07-13,97750390.79
2022-07-14,97198973.485
2022-07-15,108633840.085
2022-07-16,115096383.17
2022-07-17,113950862.03
2022-07-18,165649940.125
2022-07-19,215030739.61
2022-07-20,171834591.655
2022-07-21,156442322.33
2022-07-22,148278247.285
2022-07-23,128911066.93
2022-07-24,128517320.45
2022-07-25,137288038.85
2022-07-26,127694702.88
2022-07-27,161556329.155
2022-07-28,175321839.19
2022-07-29,147069692.92
2022-07-30,121772383.34
2022-07-31,100245203
2022-08-01,101564014.655
2022-08-02,144262446.135
2022-08-03,79167438.345
2022-08-04,40058292.655
2022-08-05,52590981.415
2022-08-06,41323816.82
2022-08-07,35623445.17
2022-08-08,32963960.92
2022-08-09,50540737.21
2022-08-10,46014261.17
2022-08-11,90875159.89
2022-08-12,86698381.125
2022-08-13,51492904.985
2022-08-14,43785509.575
2022-08-15,75189968.845
2022-08-16,91264485.215
2022-08-17,42217288.35
2022-08-18,83185959.665
2022-08-19,63539097.72
2022-08-20,72495753.51
2022-08-21,82547669.055
2022-08-22,104344160.94
2022-08-23,103123874.885
2022-08-24,110073648.465
2022-08-25,101008773.12
2022-08-26,80503179.375
2022-08-27,22424152.805
2022-08-28,49482665
2022-08-29,44509925.935
2022-08-30,50734964.24
2022-08-31,82503567.71
2022-09-01,81329302.545
2022-09-02,30525886.215
2022-09-03,56497376.165
2022-09-04,57587015.925
2022-09-05,31891369.59
2022-09-06,44675165.99
2022-09-07,50184576.975
2022-09-08,55283370.455
2022-09-09,38173157.88
2022-09-10,37298639.82
2022-09-11,56327816.19
2022-09-12,94267703.335
2022-09-13,83932439.9
2022-09-14,84318847.76
2022-09-15,53643866.69
2022-09-16,38663300.02
2022-09-17,21774169.6
2022-09-18,24681746.56
2022-09-19,38934337.845
2022-09-20,49927432.345
2022-09-21,68165308.11
2022-09-22,52312458.15
2022-09-23,72884265.2
2022-09-24,50334176.82
2022-09-25,37695774.745
2022-09-26,56536043.935
2022-09-27,22184718.705
2022-09-28,63081787.62
2022-09-29,63400701.63
2022-09-30,69611480.3
2022-10-01,28436584.28
2022-10-02,25528885.985
2022-10-03,31278045.995
2022-10-04,25916506.95
2022-10-05,28670669.53
2022-10-06,59740726.24
2022-10-07,47376866.355
2022-10-08,17310568.565
2022-10-09,19860304.095
2022-10-10,36674697.655
2022-10-11,20473119.795
2022-10-12,37577091.715
2022-10-13,32458075.225
2022-10-14,22458539.3
2022-10-15,12210324.375
2022-10-16,18240939.535
2022-10-17,20967831.775
2022-10-18,31183195.165
2022-10-19,28923022.375
