date,market_cap_fully_diluted
2021-03-29,9944848348.27
2021-03-30,11636252938.59
2021-03-31,10856828259.57
2021-04-01,10290140509.95
2021-04-02,10931118983.94
2021-04-03,11071883380.75
2021-04-04,9663333931.30
2021-04-05,10266488902.18
2021-04-06,10881303497.06
2021-04-07,10505841557.13
2021-04-08,9584662708.41
2021-04-09,10148977730.20
2021-04-10,9832422615.64
2021-04-11,9790606350.06
2021-04-12,10240899629.78
2021-04-13,10020422682.82
2021-04-14,10345372659.57
2021-04-15,10474776239.54
2021-04-16,13246596010.73
2021-04-17,13004332315.92
2021-04-18,12563996887.16
2021-04-19,10658516207.33
2021-04-20,9302548845.26
2021-04-21,9951167786.33
2021-04-22,9569823139.77
2021-04-23,9218694739.57
2021-04-24,8716114763.63
2021-04-25,7799372634.68
2021-04-26,7820214497.79
2021-04-27,9178680881.71
2021-04-28,10249529322.57
2021-04-29,10047527273.28
2021-04-30,9978925719.65
2021-05-01,10994272679.04
2021-05-02,11261492004.43
2021-05-03,10779494252.29
2021-05-04,10691810996.55
2021-05-05,9317470468.35
2021-05-06,10236495716.45
2021-05-07,10745928764.17
2021-05-08,12059076611.97
2021-05-09,11769799365.13
2021-05-10,11342312518.68
2021-05-11,10221666884.44
2021-05-12,10956380126.88
2021-05-13,11246603751.85
2021-05-14,11184508466.21
2021-05-15,12173716996.16
2021-05-16,10565286895.27
2021-05-17,10741532710.87
2021-05-18,10167224719.52
2021-05-19,11615225970.18
2021-05-20,6601583371.81
2021-05-21,7180947268.00
2021-05-22,6092960619.49
2021-05-23,5407803635.07
2021-05-24,4413847870.57
2021-05-25,5355350750.18
2021-05-26,5286553780.30
2021-05-27,6282440507.76
2021-05-28,5792379094.35
2021-05-29,5273268948.66
2021-05-30,5761697805.10
2021-05-31,5527614332.57
2021-06-01,6478242709.25
2021-06-02,6786124331.32
2021-06-03,7761188436.27
2021-06-04,8301156007.14
2021-06-05,8871781183.28
2021-06-06,8316558684.43
2021-06-07,8093058255.21
2021-06-08,7039364384.24
2021-06-09,7764310654.61
2021-06-10,8324457129.88
2021-06-11,7485849363.58
2021-06-12,7131381264.99
2021-06-13,6934749800.11
2021-06-14,7298092225.55
2021-06-15,7521155774.37
2021-06-16,7458238889.41
2021-06-17,6796577195.65
2021-06-18,6926343886.55
2021-06-19,6320521473.86
2021-06-20,6175316635.42
2021-06-21,6355502941.53
2021-06-22,4840624193.48
2021-06-23,4602314599.78
2021-06-24,4975874000.06
2021-06-25,5518209650.87
2021-06-26,4874977446.16
2021-06-27,4886500625.26
2021-06-28,5259062606.49
2021-06-29,5327264239.73
2021-06-30,5910966494.06
2021-07-01,6026291809.11
2021-07-02,5654848904.29
2021-07-03,5494365746.75
2021-07-04,5822627228.62
2021-07-05,6088945629.52
2021-07-06,5979966453.65
2021-07-07,6500853405.83
2021-07-08,6410903456.62
2021-07-09,5808139919.77
2021-07-10,5879251299.40
2021-07-11,5790246701.61
2021-07-12,5818434243.95
2021-07-13,5568778417.51
2021-07-14,5272408862.22
2021-07-15,5288100334.38
2021-07-16,4932440643.31
2021-07-17,4695484227.76
2021-07-18,4720026335.83
2021-07-19,4709415381.71
2021-07-20,4489470285.29
2021-07-21,4263438388.93
2021-07-22,4777614736.80
2021-07-23,5107884472.25
2021-07-24,5297410695.39
2021-07-25,5111148339.17
2021-07-26,5070683066.37
2021-07-27,5036722179.04
2021-07-28,5154629964.96
2021-07-29,5074732789.89
2021-07-30,5338946441.84
2021-07-31,5631150731.54
2021-08-01,5666614484.71
2021-08-02,5487005848.41
2021-08-03,5382219157.53
2021-08-04,5194636533.23
2021-08-05,5372166917.15
2021-08-06,5874413477.21
